127.0.0.1, 2015-08-31 13:04:14, GET, /Ortodontie/default/image/saphire_brackets2.jpg, HTTP/1.1, 404, 0.045000
127.0.0.1, 2015-08-31 13:04:14, GET, /Ortodontie/default/image/metalic_brackets2.jpg, HTTP/1.1, 404, 0.121000
127.0.0.1, 2015-08-31 13:04:14, GET, /Ortodontie/default/image/saphire_brackets2.jpg, HTTP/1.1, 404, 0.179000
127.0.0.1, 2015-08-31 13:04:15, GET, /Ortodontie/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-08-31 13:05:31, GET, /Ortodontie/default/index.html, HTTP/1.1, 200, 0.095000
127.0.0.1, 2015-08-31 13:05:31, GET, /Ortodontie/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-08-31 13:05:31, GET, /Ortodontie/static/css/font-awesome.css, HTTP/1.1, 304, 0.013000
127.0.0.1, 2015-08-31 13:05:31, GET, /Ortodontie/static/css/style.css, HTTP/1.1, 304, 0.013000
127.0.0.1, 2015-08-31 13:05:31, GET, /Ortodontie/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.014000
127.0.0.1, 2015-08-31 13:05:31, GET, /Ortodontie/static/js/ga.js, HTTP/1.1, 304, 0.014000
127.0.0.1, 2015-08-31 13:05:31, GET, /Ortodontie/static/js/jquery.easing.min.js, HTTP/1.1, 304, 0.016000
127.0.0.1, 2015-08-31 13:05:31, GET, /Ortodontie/static/js/alternate.js, HTTP/1.1, 304, 0.009000
127.0.0.1, 2015-08-31 13:05:31, GET, /Ortodontie/static/js/scrolling-nav.js, HTTP/1.1, 304, 0.019000
127.0.0.1, 2015-08-31 13:05:31, GET, /Ortodontie/static/image/metalic_brackets2.jpg, HTTP/1.1, 404, 0.008000
127.0.0.1, 2015-08-31 13:05:31, GET, /Ortodontie/static/css/owl.carousel.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-08-31 13:05:31, GET, /Ortodontie/static/css/owl.theme.css, HTTP/1.1, 304, 0.006000
127.0.0.1, 2015-08-31 13:05:31, GET, /Ortodontie/static/image/saphire_brackets2.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2015-08-31 13:05:32, GET, /Ortodontie/static/image/metalic_brackets2.jpg, HTTP/1.1, 404, 0.002000
127.0.0.1, 2015-08-31 13:05:32, GET, /Ortodontie/static/image/saphire_brackets2.jpg, HTTP/1.1, 404, 0.002000
